name,city,capacity
Al Bayt Stadium,Al Khor,68895
Lusail iconic Stadium,Lusail City,88966
Ahmad Bin Ali Stadium,Umm Al Afaei,45032
Al Janoub Stadium,Al Wakrah,44325
Al Thumama Stadium,Al Thumama,44400
Education City Stadium,Al Rayyan,44667
Khalifa International Stadium,Aspire,45857
Stadium 974,Ras Abu Aboud,44089
